141,044;144,83;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
141,01;144,888;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
143,133;144,897;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
141,734;144,895;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
143,976;144,851;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:2 ;periodCodePERIOD_CODE [code=1]
142,247;144,887;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,133;144,929;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,941;144,886;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
143,067;144,911;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,637;144,946;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,609;144,951;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
141,356;144,915;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,801;144,938;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,907;144,997;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
141,739;144,969;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,239;144,974;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
143,0;144,968;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
142,652;144,953;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
141,85;144,954;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
143,044;145,064;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
