164,029;168,246;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
163,995;168,318;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
164,345;168,333;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
164,877;168,337;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:50 ;periodCodePERIOD_CODE [code=1]
160,837;168,301;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:2 ;periodCodePERIOD_CODE [code=1]
163,237;168,128;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,447;168,221;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
162,768;168,189;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,805;168,199;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,442;168,202;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,32;168,24;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,906;168,272;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,834;168,304;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,706;168,341;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,218;168,288;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,823;168,288;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,157;168,295;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
165,015;168,285;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
163,962;168,304;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
162,985;168,263;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
164,002;168,271;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
